score,srl_m_1,srl_m_2,srl_m_3,srl_m_4,srl_m_5,srl_m_6,srl_m_7,srl_m_8,srl_m_9,srl_m_10,srl_m_11,srl_m_12,srl_m_13,srl_m_14,srl_m_15,srl_m_16,srl_m_17,srl_m_18,srl_m_19,srl_m_20,srl_m_21,srl_m_22,srl_m_23,srl_m_24,srl_m_25,srl_m_26,srl_m_27,srl_m_28,srl_m_29,srl_m_30,srl_m_31,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,srl_s_1,srl_s_2,srl_s_3,srl_s_4,srl_s_5,srl_s_6,srl_s_7,srl_s_8,srl_s_9,srl_s_10,srl_s_11,srl_s_12,srl_s_13,srl_s_14,srl_s_15,srl_s_16,srl_s_17,srl_s_18,srl_s_19,srl_s_20,srl_s_21,srl_s_22,srl_s_23,srl_s_24,srl_s_25,srl_s_26,srl_s_27,srl_s_28,srl_s_29,srl_s_30,srl_s_31,srl_s_32,srl_s_33,srl_s_34,srl_s_35,srl_s_36,srl_s_37,srl_s_38,srl_s_39,srl_s_40,srl_s_41,srl_s_42,srl_s_43,srl_s_44,srl_s_45,srl_s_46,srl_s_47,srl_s_48,srl_s_49,srl_s_50,ADD BOOKMARK,ADD MARKER,ADD MEMO,ADD_HW_MEMO,ADD_RECOMMENDATION,BOOKMARK_JUMP,CHANGE MEMO,CLEAR_HW_MEMO,CLOSE,CLOSE_RECOMMENDATION,DELETE BOOKMARK,DELETE MARKER,DELETE_MEMO,GETIT,LINK_CLICK,MEMO_JUMP,NEXT,NOTGETIT,OPEN,OPEN_RECOMMENDATION,PAGE_JUMP,PREV,REGIST CONTENTS,SEARCH,SEARCH_JUMP,UNDO_HW_MEMO
93,4,4,4,4,3,3,3,3,4,3,4,4,3,3,4,3,4,3,3,4,4,4,3,3.0,4,3,2,3,2,2,2,4,4,3,3,3,4,4,3,4,3,4,4,3,4,3,4,4,4,4,2,3,3,4,4,2,3,2,4,4,4,4,4,4,4,4,4,3,3,3,3,1,2,3,3,2,3,1,3,4.0,4,4,3,4.0,4,4,3,3.0,4,3,4.0,3,3,3.0,3.0,3.0,3.0,3.0,3,3,3,3.0,3,3.0,3,3.0,3.0,3.0,3.0,3,3,3,3,3,3,4,2,2,2.0,4,2,4,3,3,3,3,2,3,3,4,193,36,2,0,8,91,0,176,0,4,25,6,0,0,0,2524,0,206,0,80,1202,0,0,0,0
78,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3.0,3,3,2,3,2,2,2,3,4,2,2,2,1,3,1,3,1,2,4,1,3,2,2,4,3,2,2,3,2,3,2,3,1,2,3,4,4,4,3,4,3,2,3,5,4,4,4,1,1,5,4,1,1,1,3,3.0,3,4,4,4.0,4,4,3,3.0,4,3,3.0,3,3,4.0,4.0,3.0,4.0,4.0,3,3,3,4.0,3,3.0,3,2.0,3.0,3.0,3.0,3,4,3,2,3,3,3,3,2,2.0,3,2,3,3,3,3,3,3,3,3,4,267,23,21,0,1,20,0,92,0,4,1,1,0,0,0,1688,0,122,0,1,645,0,0,0,27
89,4,4,3,1,5,5,4,1,4,4,2,3,3,3,4,3,3,3,4,5,5,5,4,4.0,4,4,1,3,1,1,1,5,5,1,1,5,5,1,1,1,1,1,1,1,3,3,3,5,5,5,5,1,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3.0,2,3,3,4.0,4,5,2,2.0,3,2,3.0,1,1,3.0,4.0,4.0,4.0,4.0,4,3,3,3.0,3,3.0,2,1.0,2.0,3.0,2.0,3,2,2,4,3,4,5,2,4,1.0,3,1,5,1,1,1,5,1,1,1,0,289,26,22,0,0,27,1,124,0,0,9,5,0,0,0,2359,0,152,0,36,1365,0,0,0,20
91,5,5,5,4,5,5,5,4,5,4,4,5,4,4,4,4,5,3,4,3,4,4,4,4.0,4,4,1,5,5,3,5,3,4,3,4,4,3,5,5,4,3,3,3,3,4,3,5,5,4,5,4,3,4,5,3,4,3,4,4,5,5,5,5,5,4,5,4,3,5,5,4,3,5,5,5,3,2,2,3,5.0,5,5,4,4.0,4,4,5,4.0,4,5,5.0,3,5,5.0,5.0,4.0,4.0,4.0,1,3,3,4.0,4,3.0,4,1.0,3.0,4.0,3.0,4,5,4,1,5,5,5,1,2,1.0,5,1,5,4,4,5,4,4,5,5,1,283,37,0,0,0,17,0,177,1,1,71,2,5,0,0,5625,0,437,0,13,2011,0,0,0,0
96,4,4,4,5,5,2,5,4,5,5,5,5,5,5,5,4,4,4,4,1,5,4,5,3.0,4,3,3,4,4,2,2,4,4,3,3,4,4,4,4,3,3,2,3,4,3,4,5,4,4,4,4,4,4,5,4,4,5,4,4,4,3,4,4,5,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,3.0,3,3,1,2.0,3,3,3,3.0,3,3,3.0,3,3,3.0,3.0,3.0,4.0,5.0,1,4,5,5.0,4,5.0,5,5.0,5.0,5.0,4.0,5,5,5,4,5,4,5,4,5,1.0,5,5,4,5,4,5,5,5,4,5,12,356,47,2,0,13,61,0,237,0,12,73,3,26,0,0,3140,4,284,0,42,986,0,0,0,0
81,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3,3,2,2,1,1,2,3,3,3,2,3,2,2,2,2,1,1,2,1,3,2,1,2,2,2,2,1,2,3,2,2,1,3,3,2,2,3,3,3,3,3,3,2,2,2,3,2,2,3,2,1,1,1,1,3.0,3,3,2,3.0,2,3,2,3.0,2,3,3.0,1,3,3.0,2.0,2.0,3.0,3.0,2,1,2,2.0,2,3.0,2,1.0,2.0,3.0,3.0,3,3,3,3,3,3,3,1,2,1.0,3,2,3,2,3,1,2,2,2,2,12,203,17,8,0,0,10,1,127,0,12,64,3,15,0,1,2301,6,178,0,10,1000,0,3,0,6
76,4,4,5,4,5,3,3,3,4,4,3,4,4,4,4,4,4,4,2,3,2,3,2,2.0,2,2,4,4,4,4,3,4,2,4,4,2,4,3,4,3,1,3,3,2,2,1,3,4,3,3,2,2,4,4,3,1,2,2,2,3,1,2,3,2,2,2,3,3,4,4,3,1,4,4,4,1,1,1,1,2.0,3,3,3,4.0,3,2,1,2.0,2,4,4.0,2,2,2.0,2.0,2.0,2.0,3.0,4,2,2,2.0,2,2.0,2,2.0,2.0,2.0,2.0,2,2,2,4,2,3,5,4,4,2.0,3,4,3,2,5,4,4,2,5,5,21,780,36,17,0,21,42,0,156,0,8,25,4,0,0,1,2355,0,236,0,13,790,0,3,4,0
81,3,3,5,4,4,4,3,3,4,4,4,5,4,5,4,4,4,4,4,3,4,3,3,4.0,3,3,2,3,3,4,5,3,4,1,1,3,1,4,2,4,1,1,2,1,2,1,3,4,3,3,2,1,4,4,4,2,2,1,3,4,3,4,4,3,2,2,3,2,3,4,3,1,5,3,4,1,2,1,2,5.0,4,4,4,3.0,3,3,3,4.0,3,5,4.0,3,4,3.0,4.0,3.0,3.0,4.0,2,3,4,3.0,4,3.0,4,2.0,4.0,4.0,3.0,4,4,4,2,3,4,5,3,2,2.0,4,4,4,1,1,1,4,3,4,4,26,506,59,15,0,76,168,0,202,0,9,55,11,2,0,0,3453,0,283,0,114,1424,0,0,0,12
76,3,3,3,3,5,4,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1.0,2,1,4,4,5,4,5,4,4,5,5,3,5,3,5,3,1,3,3,1,2,3,2,3,3,3,3,2,3,4,3,1,2,1,2,3,2,3,3,3,3,3,3,2,2,5,5,1,5,5,5,1,1,1,1,3.0,3,4,3,3.0,3,4,4,4.0,3,5,5.0,2,3,3.0,3.0,3.0,3.0,4.0,3,3,3,3.0,3,3.0,4,4.0,4.0,3.0,3.0,3,5,4,3,5,4,3,2,2,3.0,3,3,3,1,1,3,3,2,5,3,6,212,36,12,0,1,45,0,356,0,1,4,3,2,0,0,5023,1,421,0,0,1997,0,0,0,1
54,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,2,3,2,4,3,4,4,4,4.0,4,4,3,3,4,3,3,4,5,3,2,4,4,4,5,4,4,4,2,3,4,4,3,5,5,3,2,4,4,2,4,3,3,2,3,3,3,4,4,4,4,4,4,3,3,4,2,2,4,4,4,2,5,3,3,4.0,4,4,4,5.0,4,4,4,4.0,4,4,4.0,4,4,4.0,4.0,4.0,4.0,4.0,2,4,4,4.0,4,4.0,4,2.0,4.0,4.0,4.0,4,4,4,2,4,4,4,2,2,2.0,4,3,4,3,4,3,4,4,4,4,6,135,19,0,0,1,9,0,103,0,6,14,1,2,0,0,1525,1,122,0,2,486,0,0,0,0
80,4,5,5,4,4,3,3,3,3,5,5,4,4,5,4,4,4,4,3,3,5,4,3,3.0,3,3,3,3,3,3,4,3,4,3,3,4,2,4,3,4,2,2,3,2,3,2,2,3,3,4,3,4,3,4,2,2,2,1,3,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3,1,1,1,3,4.0,4,4,4,5.0,4,4,3,4.0,3,4,4.0,3,3,3.0,4.0,4.0,4.0,3.0,3,3,5,4.0,3,3.0,4,3.0,3.0,4.0,3.0,3,4,4,3,4,3,4,3,3,2.0,3,2,3,3,4,4,4,3,4,4,43,464,48,1,0,116,214,0,335,0,32,95,7,4,0,2,5582,1,415,0,80,2771,0,0,0,1
80,4,3,3,4,2,4,5,5,4,4,3,5,3,4,5,4,5,4,3,2,4,3,2,2.0,3,3,5,5,5,5,4,5,4,3,4,2,3,4,4,4,2,1,3,1,3,2,3,4,4,3,2,3,3,3,4,2,1,2,3,3,2,4,4,5,4,4,4,4,4,4,2,1,2,4,5,2,2,2,3,4.0,3,3,3,3.0,2,2,3,3.0,2,2,4.0,2,3,2.0,2.0,4.0,2.0,3.0,4,2,2,3.0,3,3.0,2,3.0,3.0,4.0,3.0,3,2,2,3,4,4,5,4,2,3.0,3,3,3,2,3,2,4,4,4,4,1,359,30,20,0,0,82,0,220,0,1,4,3,5,0,0,3087,3,267,0,22,1178,0,0,0,2
85,3,3,5,2,5,5,5,4,5,5,5,5,5,5,4,1,5,5,5,2,5,2,4,4.0,4,4,3,4,1,1,4,4,3,2,3,4,2,4,2,3,2,4,4,2,4,5,3,5,5,5,3,3,5,3,5,1,2,2,4,5,2,5,5,5,5,5,5,4,5,5,3,3,5,5,5,3,1,3,3,4.0,4,4,4,4.0,5,4,3,5.0,4,3,4.0,5,4,3.0,5.0,5.0,4.0,2.0,1,5,4,3.0,3,3.0,4,1.0,4.0,3.0,4.0,2,3,4,5,4,4,5,3,4,3.0,4,2,4,2,4,2,2,4,3,5,7,310,32,36,0,2,14,0,205,0,7,49,3,7,0,0,3233,9,245,0,52,1376,0,0,0,0
87,5,5,5,5,5,5,4,4,4,3,4,5,5,5,5,5,5,3,4,4,5,4,5,5.0,5,5,2,2,2,2,2,4,4,2,2,4,3,3,4,3,2,2,4,4,3,2,3,4,4,4,2,2,4,4,3,3,3,2,3,3,4,4,3,3,2,4,3,4,3,5,3,2,5,4,3,1,1,1,1,5.0,5,5,4,4.0,5,5,3,3.0,4,5,5.0,3,5,5.0,5.0,5.0,5.0,5.0,3,4,5,4.0,5,5.0,4,2.0,5.0,4.0,5.0,4,5,4,2,5,5,5,2,1,1.0,1,1,2,3,4,4,5,4,4,4,6,354,45,7,0,4,30,0,192,0,6,27,6,7,0,0,2458,0,204,0,45,856,0,2,0,0
84,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4.0,5,4,5,4,5,4,5,4,5,2,5,4,4,3,2,3,3,3,4,1,2,2,4,5,5,5,5,5,5,5,5,3,4,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,2,4,2,2,3,5,3.0,3,3,3,4.0,3,4,3,4.0,3,3,4.0,3,4,3.0,4.0,4.0,3.0,4.0,4,3,3,4.0,3,4.0,3,4.0,4.0,3.0,4.0,3,5,5,2,4,5,5,2,2,5.0,4,3,4,5,3,4,5,4,3,4,4,221,59,2,0,0,86,0,149,0,2,52,10,11,0,1,2356,1,222,0,173,1094,0,5,1,0
96,3,4,3,4,3,4,3,3,4,3,4,4,3,4,4,3,3,2,4,4,3,3,4,4.0,3,3,4,4,3,4,4,4,3,4,3,4,4,4,3,3,3,4,3,5,4,4,3,5,4,4,5,3,4,3,4,3,5,3,3,4,3,4,3,4,4,3,4,4,3,4,2,3,4,3,3,4,3,4,3,3.0,2,2,3,3.0,4,5,2,3.0,5,4,3.0,1,3,4.0,5.0,4.0,5.0,5.0,4,3,4,5.0,4,5.0,3,4.0,5.0,4.0,5.0,2,3,3,3,1,5,4,1,2,1.0,4,1,3,1,1,1,5,2,1,2,1,434,35,101,0,1,10,4,108,0,1,63,4,7,0,7,1495,4,147,0,2,584,0,0,0,2
86,4,4,4,4,4,4,4,4,4,4,3,5,4,5,4,5,5,4,4,3,5,5,5,3.0,4,4,4,5,4,4,5,4,3,5,4,2,2,2,2,3,3,3,5,3,3,2,1,2,2,5,3,2,4,5,2,1,3,2,5,5,3,5,4,5,3,3,2,3,5,5,4,1,3,5,5,3,3,1,2,4.0,3,5,5,3.0,4,4,4,4.0,4,4,4.0,4,4,4.0,4.0,4.0,4.0,4.0,4,4,4,5.0,5,4.0,3,5.0,4.0,3.0,5.0,4,5,2,5,5,4,5,1,3,2.0,5,1,5,2,4,1,4,5,5,5,2,275,22,0,0,0,62,0,256,0,2,11,0,0,0,2,3118,0,292,0,4,1205,0,0,0,0
85,4,4,4,4,3,3,4,1,4,4,4,4,4,4,4,4,5,4,3,3,4,2,3,3.0,3,3,1,4,1,2,3,4,4,4,3,4,3,4,2,4,2,3,4,3,3,3,3,4,4,4,2,3,5,2,5,2,3,2,3,4,3,4,4,5,2,2,4,4,3,4,4,1,4,5,4,1,1,2,2,4.0,5,4,4,5.0,3,3,5,5.0,4,5,5.0,5,5,3.0,4.0,4.0,4.0,4.0,2,3,4,3.0,4,4.0,3,2.0,5.0,5.0,5.0,5,5,4,2,5,3,5,4,2,3.0,5,2,4,3,3,3,5,4,5,5,0,142,21,0,0,0,17,0,209,0,0,0,0,2,0,6,3499,2,307,0,4,1405,0,0,0,0
74,4,4,5,4,4,4,3,2,3,4,4,4,4,4,3,3,3,2,2,3,3,3,2,3.0,3,3,3,3,3,3,2,4,4,2,2,2,2,3,2,4,2,2,1,1,3,1,3,3,3,4,2,4,4,4,3,1,3,1,2,3,3,4,3,4,3,4,3,3,4,4,4,1,4,5,3,1,1,1,1,3.0,4,4,4,4.0,4,4,4,4.0,4,2,4.0,4,2,2.0,3.0,3.0,2.0,4.0,2,2,4,4.0,4,2.0,3,3.0,3.0,4.0,4.0,2,4,4,3,1,4,5,2,1,2.0,5,2,4,1,1,1,5,4,4,3,1,310,22,0,0,0,11,0,197,0,1,0,0,1,0,6,2912,1,248,0,1,1061,0,0,0,0
90,4,4,4,4,3,3,3,3,4,4,4,4,4,4,5,5,5,4,4,5,5,5,4,4.0,4,4,2,2,3,3,3,4,4,2,3,4,4,4,2,4,3,3,4,5,5,4,4,4,4,5,4,3,4,3,4,4,3,2,4,5,4,5,3,5,5,4,3,4,5,5,3,1,4,3,2,1,1,1,3,4.0,4,5,4,4.0,4,3,3,3.0,3,4,4.0,3,4,3.0,4.0,3.0,4.0,3.0,3,2,3,4.0,3,2.0,3,2.0,3.0,5.0,3.0,3,3,2,3,3,5,4,3,2,2.0,3,3,3,5,4,3,4,3,3,3,12,460,28,0,0,14,43,0,147,0,3,25,0,2,0,0,2364,1,186,0,1,1083,0,0,0,0
80,3,4,5,5,5,1,5,2,3,4,3,5,5,5,5,5,5,5,5,3,5,3,5,5.0,4,5,1,1,1,1,1,3,4,1,1,3,2,2,2,2,1,3,2,3,3,2,2,5,5,3,1,1,5,3,4,1,3,2,4,3,4,5,3,5,4,3,3,5,5,5,1,1,4,5,5,1,1,1,5,2.0,2,3,3,4.0,3,3,3,2.0,3,2,4.0,1,1,3.0,4.0,4.0,3.0,4.0,5,3,4,5.0,2,3.0,3,2.0,2.0,4.0,3.0,3,1,3,4,1,4,4,5,1,2.0,4,1,3,2,4,1,5,1,5,5,2,185,31,54,0,0,27,0,117,0,2,41,0,0,0,0,1906,0,152,0,7,906,0,6,2,0
82,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,1,1,1,1,1,1.0,1,1,4,4,4,4,4,4,3,4,2,2,2,2,3,2,3,2,3,4,3,4,3,3,2,2,4,4,2,2,3,2,4,2,3,3,4,4,4,4,3,3,3,2,2,3,4,4,3,2,3,3,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3.0,3,3,2.0,2.0,2.0,2.0,2.0,2,2,2,2.0,2,2.0,2,2.0,2.0,2.0,2.0,2,2,2,2,2,2,2,2,2,2.0,2,2,2,2,2,2,2,2,2,2,6,389,24,0,0,0,26,0,170,0,3,2,0,0,0,0,2850,0,225,0,15,1412,0,0,0,0
93,4,5,5,3,4,3,5,3,5,5,5,5,5,5,5,5,5,5,4,3,5,3,3,4.0,4,4,4,5,3,4,4,4,4,4,3,1,1,4,4,5,1,4,3,4,5,3,5,5,4,4,2,2,5,3,2,3,3,4,5,5,4,5,5,4,5,5,5,5,5,5,5,2,4,4,5,3,2,1,4,4.0,4,4,4,5.0,4,4,4,5.0,3,5,5.0,5,5,2.0,5.0,4.0,5.0,5.0,1,2,4,4.0,3,3.0,4,1.0,5.0,5.0,5.0,5,5,5,1,3,5,5,1,1,1.0,2,1,2,4,3,4,5,4,4,4,3,416,38,2,0,0,57,0,288,0,0,13,5,34,0,0,4142,1,339,0,1,1502,0,0,0,0
82,4,5,5,4,3,1,3,3,5,5,5,5,5,5,4,4,5,2,3,5,5,5,3,3.0,5,5,1,4,1,1,1,5,5,5,5,3,4,3,3,3,4,4,5,5,5,4,5,5,5,5,4,4,5,5,5,4,4,3,5,5,5,5,3,3,5,5,5,5,5,5,3,2,3,4,3,2,5,3,3,3.0,3,5,5,5.0,5,5,4,5.0,5,3,5.0,2,4,5.0,5.0,5.0,5.0,5.0,4,3,3,4.0,3,3.0,4,1.0,2.0,5.0,2.0,2,5,5,5,3,3,3,2,1,2.0,5,1,2,1,1,1,4,4,5,5,0,0,24,0,0,0,5,1,77,0,0,0,1,0,0,0,1576,0,136,0,5,648,0,0,0,0
82,4,4,5,2,3,2,4,3,5,5,4,5,4,4,4,4,4,4,4,3,4,3,3,3.0,3,3,2,3,3,3,3,4,4,2,4,4,3,2,4,3,1,2,3,2,3,2,3,4,3,3,3,2,4,4,3,1,1,2,3,4,2,3,2,3,2,4,3,4,4,3,4,1,2,4,3,1,2,1,2,5.0,4,5,4,3.0,3,3,5,3.0,3,4,5.0,4,4,3.0,4.0,4.0,4.0,4.0,3,2,4,4.0,2,2.0,2,1.0,3.0,4.0,4.0,4,4,4,4,4,4,4,2,1,1.0,1,2,3,4,4,2,4,3,4,4,45,161,20,0,0,207,94,0,145,0,2,7,1,0,0,0,1659,0,161,0,11,642,0,0,0,0
85,5,4,5,4,5,2,4,3,4,5,5,5,5,5,4,5,5,4,4,3,4,4,4,4.0,3,4,1,2,1,1,1,3,3,2,3,4,2,3,2,3,2,3,3,4,4,2,3,3,4,4,3,2,4,4,4,2,2,2,2,3,3,4,4,3,3,3,3,4,4,4,2,2,4,4,2,2,1,1,2,5.0,5,3,5,5.0,3,4,4,5.0,4,5,4.0,3,4,3.0,3.0,4.0,4.0,4.0,3,3,4,4.0,5,3.0,4,2.0,4.0,4.0,4.0,5,5,4,3,4,5,5,1,1,1.0,4,2,4,5,3,2,4,4,5,4,1,416,37,0,0,0,25,0,228,0,0,28,2,2,0,0,4269,0,352,0,6,1591,0,0,0,0
87,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,5.0,4,4,3,4,4,4,3,3,4,2,3,3,3,3,3,3,2,1,1,1,1,1,3,3,3,3,2,2,4,2,2,3,1,1,2,3,3,4,4,2,2,2,3,3,4,4,4,1,1,3,4,1,1,1,2,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,4,4,5,4.0,4,4.0,4,4.0,5.0,4.0,4.0,4,4,3,4,4,4,4,4,4,4.0,4,4,4,3,3,3,4,4,4,4,3,121,20,0,0,0,27,0,195,0,1,24,2,1,0,0,2932,4,235,0,3,1033,0,0,0,0
81,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5,5,1,3,1,1,5,5,4,5,4,3,4,5,3,5,4,5,5,3,5,5,5,5,5,5,5,4,5,5,3,2,2,4,5,5,3,5,5,2,4,5,5,5,5,5,3,2,4,5,4,3,5,2,3,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5,5,5,5.0,5,5.0,4,2.0,5.0,5.0,5.0,5,5,5,5,5,5,5,1,1,5.0,5,3,4,5,5,5,5,5,5,5,4,35,26,1,0,0,14,0,216,0,4,7,1,1,0,12,3017,0,261,0,1,706,0,0,0,1
81,3,3,4,3,4,3,4,3,3,4,3,4,3,4,4,4,4,4,4,3,4,3,4,4.0,3,4,3,3,3,3,3,4,4,4,3,4,4,3,4,4,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,4.0,4,4,4,4.0,4,4,3,4.0,3,4,4.0,3,4,3.0,4.0,3.0,3.0,3.0,2,3,3,3.0,3,3.0,4,3.0,3.0,4.0,3.0,3,4,4,3,3,4,5,3,1,2.0,3,2,4,4,4,4,3,3,4,4,1,154,24,0,0,0,104,0,305,0,1,15,1,12,0,0,5209,5,356,0,0,2808,0,0,0,0
67,4,4,5,5,3,3,4,3,4,5,4,5,4,5,4,4,4,4,3,3,5,3,4,4.0,3,3,3,4,2,2,4,4,3,3,4,2,3,3,4,3,2,2,3,4,3,3,4,4,5,5,2,4,5,4,3,2,2,4,3,5,4,5,4,4,3,5,4,4,4,5,3,1,3,5,5,2,1,3,3,4.0,3,5,4,4.0,3,4,5,4.0,3,5,5.0,4,5,3.0,5.0,4.0,4.0,4.0,2,4,5,3.0,3,5.0,5,2.0,4.0,5.0,5.0,3,5,4,3,4,4,5,4,2,2.0,4,3,4,3,5,4,2,4,5,5,0,133,21,0,0,0,82,0,123,0,0,1,0,0,0,0,2395,0,167,0,0,1025,0,0,0,0
89,4,4,4,3,3,3,5,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,3,4,2,4,3,2,3,4,4,2,2,5,2,3,2,4,3,2,3,4,4,3,4,4,4,4,3,2,5,4,3,1,4,2,3,4,4,5,4,5,3,4,4,4,4,4,2,1,3,4,4,4,2,2,3,4.0,4,4,4,4.0,4,4,4,4.0,4,4,4.0,4,4,4.0,4.0,4.0,4.0,4.0,2,3,4,4.0,4,3.0,4,2.0,4.0,4.0,4.0,4,4,4,2,4,4,5,2,1,1.0,4,2,4,4,5,4,5,3,4,5,0,61,18,0,0,0,11,0,141,0,0,7,0,0,0,0,2351,0,201,0,1,816,0,0,0,0
79,4,4,5,3,3,3,3,3,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4.0,4,4,2,4,3,3,2,4,5,4,4,1,2,3,2,4,2,2,3,1,3,1,2,1,1,4,1,1,4,3,3,2,2,1,4,4,4,3,3,2,2,3,4,4,4,3,4,1,1,1,1,1,1,1,1,4.0,3,4,3,5.0,4,4,2,3.0,4,3,5.0,1,3,3.0,4.0,3.0,4.0,4.0,3,3,4,4.0,2,4.0,3,1.0,3.0,4.0,3.0,1,3,3,2,4,4,4,1,1,2.0,4,3,2,3,2,2,4,1,4,3,0,94,20,9,0,0,4,0,116,0,0,4,1,2,0,0,1504,0,156,0,0,421,0,0,0,0
94,5,3,4,3,5,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5,5,2,3,1,1,1,4,4,3,1,3,1,4,3,4,3,2,2,3,3,2,3,4,4,4,4,4,4,4,4,3,3,4,4,5,5,4,4,4,4,4,4,4,3,4,1,1,5,4,4,2,1,1,4,5.0,4,4,4,5.0,5,5,4,4.0,4,4,4.0,3,4,4.0,4.0,4.0,4.0,4.0,5,4,3,4.0,3,3.0,4,2.0,4.0,4.0,4.0,4,4,3,4,3,4,4,2,2,1.0,1,1,5,3,1,1,5,5,5,5,4,117,38,9,0,1,35,0,101,0,4,3,4,20,0,0,2038,4,181,0,7,849,0,0,0,3
88,4,5,4,4,4,3,4,3,4,4,4,5,4,3,5,3,4,3,4,4,5,4,4,4.0,4,5,3,4,2,1,2,4,4,2,3,4,2,3,2,3,2,3,4,1,4,3,4,4,4,5,3,2,4,5,4,2,3,2,4,5,5,4,4,5,4,3,4,3,4,5,2,1,3,4,5,2,1,4,4,4.0,3,4,3,4.0,4,5,2,4.0,4,4,4.0,3,4,2.0,4.0,4.0,4.0,4.0,2,2,4,4.0,4,2.0,2,2.0,4.0,4.0,3.0,3,4,3,3,4,4,2,2,2,1.0,3,2,3,4,4,4,4,2,4,4,1,169,23,0,0,0,20,0,92,0,1,21,2,1,0,0,1657,1,121,0,35,685,0,0,0,0
87,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5,5,2,4,5,4,4,5,4,4,3,2,4,4,3,4,2,3,4,4,5,3,4,5,5,5,4,5,5,4,5,5,3,4,5,5,4,5,5,2,5,4,5,4,5,5,5,1,4,4,1,1,1,1,4,5.0,4,5,5,5.0,5,5,5,5.0,5,3,5.0,3,5,5.0,5.0,5.0,5.0,5.0,2,3,5,5.0,4,4.0,5,1.0,3.0,5.0,4.0,5,5,5,2,4,5,5,2,2,2.0,5,1,5,2,1,1,5,5,5,3,0,26,25,95,0,0,14,2,144,1,0,0,0,1,0,0,1306,0,196,0,116,312,0,0,0,1
80,5,5,5,5,4,3,4,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4.0,5,5,4,2,3,4,5,4,5,2,1,1,3,3,1,3,2,2,4,2,5,1,1,4,4,4,4,2,5,5,4,4,2,2,4,3,3,5,4,5,3,3,4,3,5,5,4,1,3,4,4,1,1,1,2,4.0,3,4,4,5.0,3,5,3,4.0,4,3,3.0,4,3,1.0,3.0,3.0,4.0,4.0,2,3,3,3.0,2,3.0,2,1.0,2.0,5.0,3.0,3,5,5,5,5,5,5,2,1,1.0,3,1,3,3,3,3,2,2,4,4,1,132,19,0,0,0,46,0,122,1,1,15,1,5,0,0,3757,3,282,0,4,1763,0,0,0,0
74,4,3,3,3,4,4,4,3,3,3,3,3,3,3,4,4,3,3,3,3,2,2,2,3.0,2,3,4,4,4,4,4,4,3,4,2,2,3,3,4,3,2,2,3,2,3,2,4,4,4,4,3,3,3,4,2,2,2,2,3,4,4,4,3,4,3,3,4,2,3,4,4,2,2,4,4,2,1,3,2,3.0,3,3,3,2.0,2,2,3,3.0,2,3,3.0,3,3,3.0,4.0,3.0,2.0,2.0,3,2,3,3.0,2,3.0,3,3.0,3.0,4.0,2.0,2,4,3,3,3,3,4,2,2,3.0,4,3,3,2,3,3,4,4,4,4,0,60,18,15,0,0,11,0,75,0,0,5,0,0,0,4,1599,0,125,0,43,643,0,0,0,15
